POSTO,Data,Dia m3/s,NÍVEL RES. (m),VOLUME (%VU) ARM. nan,nan ESP. nan,VAZÃO (m3/s) TUR. nan,nan VER. nan,nan OTR. nan,nan DFL. nan,nan TRA. nan,nan AFL. nan,nan INC. nan,nan Usos Con.,nan EVP. nan,nan ART. nan
32,2020-08-08,566,431.2,88.5,-,1975,0,0,1975,0,1723,32,61.01,1.5,0
33,2020-08-08,1016,396.67,55.09,100,2102,0,0,2102,0,2685,447,110.18,12.91,0
247,2020-08-08,69,476.77,87.99,-,68,0,0,68,0,68,69,0.81,0.4,0
248,2020-08-08,72,447.58,78.09,-,64,0,0,64,0,73,3,0.83,0.59,0
261,2020-08-08,77,353.9,94.72,-,75,0,0,75,0,70,5,0.89,0.34,0
294,2020-08-08,89,446.41,90.34,-,83,0,0,83,0,83,89,0.63,1.94,0
241,2020-08-08,97,370.45,94.75,-,96,0,0,96,0,91,7,0.68,0.82,0
99,2020-08-08,50,581.6,64.6,-,62,0,0,62,0,48,50,0.14,0.66,0
34,2020-08-08,2088,326.69,72.16,100,3541,0,0,3541,426,3834,120,234.21,25.96,0
318,2020-08-08,30,727.24,72.82,-,6,0,0,6,0,35,0,0.0,0.0,30
118,2020-08-08,10,743.7,72.19,-,0,0,0,11,0,42,10,7.87,0.72,27
119,2020-08-08,13,0.0,0.0,-,0,0,0,0,0,4,13,0.0,0.0,0
117,2020-08-08,15,733.22,54.7,-,0,0,0,15,0,6,15,10.3,0.19,0
160,2020-08-08,3,768.6,87.5,-,0,0,0,10,0,10,3,3.86,0.01,0
161,2020-08-08,41,711.16,38.61,-,0,68,0,68,0,40,41,0.0,0.0,0
164,2020-08-08,30,711.16,38.58,-,0,68,0,68,0,72,71,0.0,0.01,0
237,2020-08-08,158,450.12,83.98,100,171,0,0,171,0,105,119,53.99,4.56,130
238,2020-08-08,183,427.27,76.22,-,200,0,0,200,0,235,27,63.92,1.08,155
239,2020-08-08,233,403.81,61.52,-,232,0,0,232,0,232,52,71.8,2.1,205
240,2020-08-08,271,381.83,47.75,100,131,104,0,235,0,235,39,76.59,9.89,242
242,2020-08-08,287,357.75,86.84,-,237,0,0,237,0,306,15,82.24,4.31,258
243,2020-08-08,307,326.5,67.95,100,754,0,0,754,-426,245,8,88.42,15.97,279
245,2020-08-08,2641,279.53,83.07,-,5006,0,0,5019,0,4646,240,324.37,6.87,2614
154,2020-08-08,84,344.01,0.98,-,75,10,0,85,0,83,84,0.0,0.34,0
246,2020-08-08,3160,257.08,31.86,-,5315,0,0,5319,0,5794,395,345.63,23.1,3133
47,2020-08-08,66,562.98,35.65,97.88,122,0,0,122,0,54,66,10.14,5.94,0
48,2020-08-08,70,531.46,79.83,-,129,0,0,130,0,130,2,10.41,0.19,0
49,2020-08-08,108,468.75,36.51,98.03,154,0,0,154,0,146,33,13.66,5.31,0
249,2020-08-08,112,398.12,124.81,-,138,0,0,140,0,144,2,13.7,0.06,0
50,2020-08-08,162,384.36,88.2,-,202,0,0,202,0,199,48,17.46,0.17,0
51,2020-08-08,167,366.01,101.05,-,196,0,0,196,0,201,4,17.75,0.33,0
52,2020-08-08,177,350.94,93.72,-,204,0,0,204,0,207,8,18.11,0.4,0
57,2020-08-08,57,629.36,34.32,-,59,0,0,78,0,53,57,1.73,2.29,0
61,2020-08-08,326,327.06,39.6,100,340,0,0,340,0,350,78,27.28,6.56,0
62,2020-08-08,369,283.66,81.88,-,360,0,0,360,0,360,35,28.19,1.03,0
63,2020-08-08,462,257.82,90.44,-,447,0,0,447,0,447,82,30.93,2.7,0
266,2020-08-08,4615,217.6,80.96,-,7244,0,0,7244,0,6545,928,393.03,11.41,4587
74,2020-08-08,167,721.64,41.2,-,220,0,0,220,0,150,167,6.21,1.07,0
76,2020-08-08,233,603.77,34.57,-,411,0,0,411,-79,367,61,6.28,1.02,275
71,2020-08-08,37,800.93,71.06,-,69,0,0,76,0,37,37,0.4,0.15,0
72,2020-08-08,40,705.29,57.89,-,68,0,0,75,0,76,3,0.4,0.02,0
73,2020-08-08,52,605.04,36.68,-,0,0,0,10,79,87,12,0.41,0.01,10
77,2020-08-08,325,492.08,37.93,100,435,0,0,435,0,417,35,6.96,2.02,0
78,2020-08-08,344,396.62,94.75,-,500,0,0,500,0,449,14,7.09,0.63,0
222,2020-08-08,435,323.53,26.07,-,694,0,0,694,0,646,87,8.11,1.59,0
81,2020-08-08,469,258.68,67.07,-,610,0,0,610,0,672,32,0.0,0.0,0
215,2020-08-08,133,639.82,72.01,-,433,0,0,433,0,130,133,0.35,2.72,0
89,2020-08-08,94,703.88,53.45,-,81,0,0,94,0,88,94,0.87,0.8,0
216,2020-08-08,125,657.32,46.4,-,95,0,0,95,0,125,29,0.96,1.05,0
217,2020-08-08,384,474.1,57.79,-,786,0,0,786,0,642,111,1.58,1.08,0
92,2020-08-08,519,367.39,54.9,-,780,0,0,780,0,919,124,3.18,5.15,0
93,2020-08-08,50,595.44,74.46,-,54,0,0,54,0,69,50,0.33,3.56,0
220,2020-08-08,85,327.12,29.39,-,74,0,0,74,0,67,36,0.4,0.2,0
94,2020-08-08,735,264.21,20.76,-,861,93,0,954,0,990,111,4.4,2.7,0
286,2020-08-08,39,546.35,45.2,-,40,0,0,41,0,39,39,0.09,0.06,0
102,2020-08-08,264,154.56,89.0,-,270,0,0,270,0,260,264,0.56,0.45,0
103,2020-08-08,275,128.08,79.55,-,225,43,0,268,0,275,10,0.58,0.57,0
110,2020-08-08,41,489.7,106.11,-,0,33,0,48,0,40,41,0.02,0.86,0
111,2020-08-08,248,324.96,86.83,88.95,199,0,0,199,0,223,206,0.34,8.13,0
112,2020-08-08,249,277.13,52.15,-,218,0,0,218,0,204,1,0.35,0.08,0
113,2020-08-08,271,182.02,83.22,-,155,0,0,155,0,245,23,0.42,0.66,0
114,2020-08-08,296,92.27,34.98,-,353,0,0,353,0,177,26,0.47,0.72,0
98,2020-08-08,56,239.19,19.0,-,29,0,0,47,0,56,56,0.26,0.15,0
97,2020-08-08,114,147.15,14.38,-,80,20,0,100,0,102,53,1.04,0.02,0
284,2020-08-08,126,103.25,25.0,-,87,0,0,115,0,104,7,1.47,0.06,0
115,2020-08-08,6,834.6,36.21,-,8,0,0,8,0,6,6,0.07,0.12,0
101,2020-08-08,16,319.26,225.73,-,3,6,0,15,0,15,16,0.22,0.0,0
278,2020-08-08,49,282.97,51.37,-,122,0,0,122,0,38,49,0.3,12.71,0
259,2020-08-08,41,411.74,60.61,-,40,0,0,40,0,40,41,0.56,0.05,0
281,2020-08-08,62,395.1,65.25,-,52,11,0,63,0,60,62,1.12,0.37,0
295,2020-08-08,52,354.98,95.56,-,50,0,0,51,0,52,52,0.09,0.04,0
121,2020-08-08,38,703.66,39.57,-,96,0,0,96,0,35,38,0.2,3.27,0
122,2020-08-08,41,613.52,39.03,100,115,0,0,115,0,104,4,0.23,0.38,0
120,2020-08-08,4,615.42,53.13,-,44,0,0,44,8,3,4,0.13,1.15,0
123,2020-08-08,78,455.23,39.14,100,181,0,0,181,0,181,37,10.19,0.72,0
125,2020-08-08,96,352.5,71.49,-,0,72,0,72,119,187,17,11.04,0.02,0
197,2020-08-08,15,659.02,63.64,-,13,0,0,14,0,15,15,0.11,0.02,0
198,2020-08-08,36,436.97,66.67,-,32,0,0,34,0,34,21,0.87,0.0,0
129,2020-08-08,195,251.28,78.0,-,94,0,0,94,63,154,50,14.11,0.0,128
126,2020-08-08,63,251.04,91.12,-,63,0,0,63,0,63,0,0.0,0.0,63
130,2020-08-08,229,139.71,86.52,-,138,0,0,138,0,186,33,15.35,0.04,162
201,2020-08-08,5,442.45,14.52,-,0,0,0,4,4,4,5,0.04,0.0,0
202,2020-08-08,2,413.72,91.41,-,0,0,0,19,-4,6,2,0.03,0.48,6
203,2020-08-08,7,362.89,61.73,-,0,0,0,0,116,0,2,0.0,0.0,62
315,2020-08-08,62,362.89,61.73,-,0,0,0,0,116,0,2,0.0,0.0,62
316,2020-08-08,62,398.46,80.74,-,0,0,0,143,0,0,0,0.0,0.0,62
303,2020-08-08,6,398.48,0.0,-,47,0,0,47,0,0,0,0.03,0.0,6
131,2020-08-08,62,398.48,0.0,-,115,0,0,115,0,0,0,0.03,0.0,62
306,2020-08-08,69,86.04,87.64,-,126,0,0,126,0,0,0,0.03,0.04,69
262,2020-08-08,28,494.24,73.26,-,26,0,0,26,0,27,28,0.67,0.03,0
183,2020-08-08,30,372.09,75.76,-,35,0,0,35,0,32,3,0.68,0.01,0
134,2020-08-08,47,353.98,74.3,-,35,0,0,35,0,47,47,0.36,0.2,0
263,2020-08-08,49,253.23,50.33,-,45,0,0,45,0,30,2,0.39,0.13,0
149,2020-08-08,69,312.4,0.0,-,0,67,0,67,0,67,69,1.46,0.05,0
141,2020-08-08,200,184.7,38.23,-,200,0,0,200,0,203,54,6.73,0.24,0
148,2020-08-08,286,89.9,75.37,-,240,16,0,256,0,273,85,10.01,0.55,0
144,2020-08-08,330,59.88,29.46,-,318,0,0,318,0,314,43,12.92,0.12,0
196,2020-08-08,18,555.0,100.0,-,15,0,0,17,0,18,18,0.2,0.01,0
283,2020-08-08,38,85.95,98.9,-,36,0,0,36,0,37,38,1.24,0.05,0
255,2020-08-08,14,500.81,68.91,100,157,0,0,157,0,8,14,0.5,5.1,0
188,2020-08-08,23,109.45,80.05,-,317,7,0,324,0,158,7,4.42,1.56,0
